CTR-48/Sample D/CTR48_Sample_D.out: 2.34806
CTR-53/Sample A/CTR_53_Sample_A.out: 2.60066
CTR-53/Sample B/CTR_53_Sample_B.out: 9.19759
CTR-53/Sample C/CTR_53_Sample_C.out: 0.84308
CTR-53/Sample D/CTR_53_Sample_D.out: 1.64165
CTR-53/Sample E/CTR_53_Sample_E.out: 1.85283
CTR-53/Sample F/CTR_53_Sample_F.out: 0.99118
CTR-53/Sample G/CTR_53_Sample_G.out: 2.73678
CTR-53/Sample H/CTR_53_Sample_H.out: 7.21980
CTR-54/Sample A/CTR_54_Sample_A.out: 2.16698
CTR-54/Sample B/CTR_54_Sample_B.out: 1.31102
CTR-54/Sample C/CTR_54_Sample_C.out: 1.36009
CTR-54/Sample D/CTR_54_Sample_D.out: 0.58296
CTR-54/Sample E/CTR_54_Sample_E.out: 2.29054
CTR-54/Sample F/CTR_54_Sample_F.out: 4.27487
CTR-54/Sample G/CTR_54_Sample_G.out: 0.22576
CTR-54/Sample H/CTR_54_Sample_H.out: 0.61901
CTR-62/Sample A/CTR62_BOC_Sample_A.out: 3.71318
CTR-62/Sample B/CTR62_BOC_Sample_B.out: 1.40100
CTR-62/Sample C/BOC/CTR_62_BOC_Sample_C.out: 2.04019
CTR-62/Sample C/EOC/CTR62_EOC_Sample_C.out: 1.31748
CTR-63/Sample A/CTR63_BOC_Sample_A.out: 3.10079
CTR-63/Sample B/CTR63_BOC_Sample_B.out: 2.19570
CTR-63/Sample C/CTR63_BOC_Sample_C.out: 0.67239
JP1/Sample A/JP1_Sample_A.out: 0.49800
JP1/Sample B/JP1_Sample_B.out: 3.96846
JP1/Sample C/JP1_Sample_C.out: 2.72488
JP1/Sample D/JP1_Sample_D.out: 1.97566
JP1/Sample E/JP1_Sample_E.out: 0.66966
JP10/Sample A/JP10_BOC_Sample_A.out: 3.53778
JP10/Sample B/JP10_BOC_Sample_B.out: 3.42050
JP10/Sample C/JP10_BOC_Sample_C.out: 2.04649
JP10/Sample D/JP10_BOC_Sample_D.out: 1.47415
JP10/Sample E/JP10_BOC_Sample_E.out: 1.26209
JP11/Sample A/JP11_BOC_Sample_A.out: 3.48380
