,E (MeV),loc,Power,Avg. Flux
611,1.8e-09,RB,100.0,2406684000000.0
612,1.9e-09,FT5,85.0,5509450144927.536
613,1.9e-09,FT5,100.0,6694023750000.0
614,1.9e-09,PTP,85.0,3313311000000.0
615,1.9e-09,PTP,100.0,5842032240000.0
616,1.9e-09,RB,85.0,2380554275000.0
617,1.9e-09,RB,100.0,2487812000000.0
618,2e-09,FT5,85.0,5905845217391.305
619,2e-09,FT5,100.0,7201605208333.333
620,2e-09,PTP,85.0,3604827000000.0
621,2e-09,PTP,100.0,6279813080000.0
622,2e-09,RB,85.0,2431203750000.0
623,2e-09,RB,100.0,2542458000000.0
624,2.1e-09,FT5,85.0,6309337826086.956
625,2.1e-09,FT5,100.0,7720286666666.667
626,2.1e-09,PTP,85.0,3905895000000.0
627,2.1e-09,PTP,100.0,6727193280000.0
628,2.1e-09,RB,85.0,2480155750000.0
629,2.1e-09,RB,100.0,2595627000000.0
630,2.2e-09,FT5,85.0,6734221956521.739
631,2.2e-09,FT5,100.0,8264333125000.0
632,2.2e-09,PTP,85.0,4217640000000.0
633,2.2e-09,PTP,100.0,7195722800000.0
634,2.2e-09,RB,85.0,2538548500000.0
635,2.2e-09,RB,100.0,2659504500000.0
636,2.3e-09,FT5,85.0,7221112753623.188
637,2.3e-09,FT5,100.0,8869168958333.334
638,2.3e-09,PTP,85.0,4542748000000.0
639,2.3e-09,PTP,100.0,7710858960000.0
640,2.3e-09,RB,85.0,2652962000000.0
641,2.3e-09,RB,100.0,2785117000000.0
642,2.4e-09,FT5,85.0,7862212246376.812
643,2.4e-09,FT5,100.0,9634177500000.0
644,2.4e-09,PTP,85.0,4925395000000.0
645,2.4e-09,PTP,100.0,8351031360000.0
646,2.4e-09,RB,85.0,2882311000000.0
647,2.4e-09,RB,100.0,3037285000000.0
648,2.55e-09,FT5,85.0,8710646594202.898
649,2.55e-09,FT5,100.0,10630583125000.0
650,2.55e-09,PTP,85.0,5411845000000.0
651,2.55e-09,PTP,100.0,9177421240000.0
652,2.55e-09,RB,85.0,3221039250000.0
653,2.55e-09,RB,100.0,3410849500000.0
654,2.7e-09,FT5,85.0,9614405797101.45
655,2.7e-09,FT5,100.0,11697123750000.0
656,2.7e-09,PTP,85.0,5934847000000.0
657,2.7e-09,PTP,100.0,10064593720000.0
658,2.7e-09,RB,85.0,3590907000000.0
659,2.7e-09,RB,100.0,3819730500000.0
660,2.8e-09,FT5,85.0,10672455724637.682
661,2.8e-09,FT5,100.0,12982013958333.334
662,2.8e-09,PTP,85.0,6584468000000.0
663,2.8e-09,PTP,100.0,11157959080000.0
664,2.8e-09,RB,85.0,4133646750000.0
665,2.8e-09,RB,100.0,4409077500000.0
666,3e-09,FT5,85.0,12233234492753.623
667,3e-09,FT5,100.0,14914152500000.0
668,3e-09,PTP,85.0,7582244000000.0
669,3e-09,PTP,100.0,12827560000000.0
670,3e-09,RB,85.0,5123512750000.0
671,3e-09,RB,100.0,5469773500000.0
672,3.2e-09,FT5,85.0,14181600724637.682
673,3.2e-09,FT5,100.0,17337782291666.666
674,3.2e-09,PTP,85.0,8840523000000.0
675,3.2e-09,PTP,100.0,14928390240000.0
676,3.2e-09,RB,85.0,6497162250000.0
677,3.2e-09,RB,100.0,6939411500000.0
678,3.4e-09,FT5,85.0,16363842318840.58
679,3.4e-09,FT5,100.0,20037302083333.332
680,3.4e-09,PTP,85.0,10236120000000.0
681,3.4e-09,PTP,100.0,17270315600000.0
682,3.4e-09,RB,85.0,8002735000000.0
683,3.4e-09,RB,100.0,8555409500000.0
684,3.6e-09,FT5,85.0,18953110869565.22
685,3.6e-09,FT5,100.0,23172841666666.668
686,3.6e-09,PTP,85.0,11828938000000.0
687,3.6e-09,PTP,100.0,19991414800000.0
688,3.6e-09,RB,85.0,9375830500000.0
689,3.6e-09,RB,100.0,10041486500000.0
690,3.8e-09,FT5,85.0,22019175217391.305
691,3.8e-09,FT5,100.0,26809120833333.332
692,3.8e-09,PTP,85.0,13643418000000.0
693,3.8e-09,PTP,100.0,23147715200000.0
694,3.8e-09,RB,85.0,10518174750000.0
695,3.8e-09,RB,100.0,11294085500000.0
696,4e-09,FT5,85.0,25714278260869.566
697,4e-09,FT5,100.0,31145837500000.0
698,4e-09,PTP,85.0,15788494000000.0
699,4e-09,PTP,100.0,26913744800000.0
700,4e-09,RB,85.0,11672048250000.0
701,4e-09,RB,100.0,12569988500000.0
702,4.25e-09,FT5,85.0,30296836231884.06
703,4.25e-09,FT5,100.0,36493335416666.664
704,4.25e-09,PTP,85.0,18421680000000.0
705,4.25e-09,PTP,100.0,31560129200000.0
706,4.25e-09,RB,85.0,13029243250000.0
707,4.25e-09,RB,100.0,14075166000000.0
708,4.5e-09,FT5,85.0,34845834782608.695
709,4.5e-09,FT5,100.0,41838579166666.664
710,4.5e-09,PTP,85.0,21072200000000.0
711,4.5e-09,PTP,100.0,36192483600000.0
712,4.5e-09,RB,85.0,14461629250000.0
713,4.5e-09,RB,100.0,15660226000000.0
714,4.75e-09,FT5,85.0,38197638405797.1
715,4.75e-09,FT5,100.0,45905968750000.0
716,4.75e-09,PTP,85.0,23149040000000.0
717,4.75e-09,PTP,100.0,39685235600000.0
718,4.75e-09,RB,85.0,15817046500000.0
719,4.75e-09,RB,100.0,17146579500000.0
720,5e-09,FT5,85.0,40888797101449.27
721,5e-09,FT5,100.0,49277472916666.664
722,5e-09,PTP,85.0,24917790000000.0
723,5e-09,PTP,100.0,42555144000000.0
724,5e-09,RB,85.0,17144120000000.0
725,5e-09,RB,100.0,18596815000000.0
726,5.25e-09,FT5,85.0,43622819565217.39
727,5.25e-09,FT5,100.0,52714677083333.336
728,5.25e-09,PTP,85.0,26725510000000.0
729,5.25e-09,PTP,100.0,45477745200000.0
730,5.25e-09,RB,85.0,18503913750000.0
731,5.25e-09,RB,100.0,20089745000000.0
732,5.5e-09,FT5,85.0,46397548550724.64
733,5.5e-09,FT5,100.0,56215656250000.0
734,5.5e-09,PTP,85.0,28571140000000.0
735,5.5e-09,PTP,100.0,48451443200000.0
736,5.5e-09,RB,85.0,19894008750000.0
737,5.5e-09,RB,100.0,21624370000000.0
738,5.75e-09,FT5,85.0,49210871739130.44
739,5.75e-09,FT5,100.0,59778614583333.336
740,5.75e-09,PTP,85.0,30453690000000.0
741,5.75e-09,PTP,100.0,51474764800000.0
742,5.75e-09,RB,85.0,21311912500000.0
743,5.75e-09,RB,100.0,23199735000000.0
744,6e-09,FT5,85.0,52225062318840.58
745,6e-09,FT5,100.0,63613347916666.664
746,6e-09,PTP,85.0,32482650000000.0
747,6e-09,PTP,100.0,54733614400000.0
748,6e-09,RB,85.0,22832545000000.0
749,6e-09,RB,100.0,24897870000000.0
750,6.3e-09,FT5,85.0,56068337681159.42
751,6.3e-09,FT5,100.0,68245552083333.336
752,6.3e-09,PTP,85.0,34844100000000.0
753,6.3e-09,PTP,100.0,58594053200000.0
754,6.3e-09,RB,85.0,24965060000000.0
755,6.3e-09,RB,100.0,27289710000000.0
756,6.6e-09,FT5,85.0,61120632608695.65
757,6.6e-09,FT5,100.0,73831068750000.0
758,6.6e-09,PTP,85.0,37514630000000.0
759,6.6e-09,PTP,100.0,63073328400000.0
760,6.6e-09,RB,85.0,28152012500000.0
761,6.6e-09,RB,100.0,30885260000000.0
762,6.9e-09,FT5,85.0,66880806521739.13
763,6.9e-09,FT5,100.0,79932268750000.0
764,6.9e-09,PTP,85.0,40329210000000.0
765,6.9e-09,PTP,100.0,67849123200000.0
766,6.9e-09,RB,85.0,32028080000000.0
767,6.9e-09,RB,100.0,35288630000000.0
768,7.2e-09,FT5,85.0,73477563043478.27
769,7.2e-09,FT5,100.0,86821810416666.67
770,7.2e-09,PTP,85.0,43468800000000.0
771,7.2e-09,PTP,100.0,73180198400000.0
772,7.2e-09,RB,85.0,36623250000000.0
773,7.2e-09,RB,100.0,40536885000000.0
774,7.6e-09,FT5,85.0,81545866666666.67
775,7.6e-09,FT5,100.0,95122075000000.0
776,7.6e-09,PTP,85.0,47203010000000.0
777,7.6e-09,PTP,100.0,79525481200000.0
778,7.6e-09,RB,85.0,42442940000000.0
779,7.6e-09,RB,100.0,47207425000000.0
780,8e-09,FT5,85.0,90673192028985.5
781,8e-09,FT5,100.0,104379714583333.33
782,8e-09,PTP,85.0,51312220000000.0
783,8e-09,PTP,100.0,86513038000000.0
784,8e-09,RB,85.0,49245825000000.0
785,8e-09,RB,100.0,55051930000000.0
786,8.4e-09,FT5,85.0,100386036956521.73
787,8.4e-09,FT5,100.0,114112510416666.67
788,8.4e-09,PTP,85.0,55578130000000.0
789,8.4e-09,PTP,100.0,93767279600000.0
790,8.4e-09,RB,85.0,56701350000000.0
791,8.4e-09,RB,100.0,63719535000000.0
792,8.8e-09,FT5,85.0,110045654347826.1
793,8.8e-09,FT5,100.0,124292175000000.0
794,8.8e-09,PTP,85.0,60218660000000.0
795,8.8e-09,PTP,100.0,101613965200000.0
796,8.8e-09,RB,85.0,63379505000000.0
797,8.8e-09,RB,100.0,71599185000000.0
798,9.2e-09,FT5,85.0,118849690579710.14
799,9.2e-09,FT5,100.0,134790750000000.0
800,9.2e-09,PTP,85.0,65432580000000.0
801,9.2e-09,PTP,100.0,110350085200000.0
802,9.2e-09,RB,85.0,67607602500000.0
803,9.2e-09,RB,100.0,76776120000000.0
804,9.6e-09,FT5,85.0,127275913768115.94
805,9.6e-09,FT5,100.0,145615416666666.66
806,9.6e-09,PTP,85.0,71047490000000.0
807,9.6e-09,PTP,100.0,119717092000000.0
808,9.6e-09,RB,85.0,70480845000000.0
809,9.6e-09,RB,100.0,80466950000000.0
810,1e-08,FT5,85.0,136509873913043.48
811,1e-08,FT5,100.0,157555768750000.0
812,1e-08,PTP,85.0,77264650000000.0
813,1e-08,PTP,100.0,130079762800000.0
814,1e-08,RB,85.0,73529695000000.0
815,1e-08,RB,100.0,84405985000000.0
816,1.05e-08,FT5,85.0,147179143478260.88
817,1.05e-08,FT5,100.0,171419016666666.66
818,1.05e-08,PTP,85.0,84509990000000.0
819,1.05e-08,PTP,100.0,142145671200000.0
820,1.05e-08,RB,85.0,76959015000000.0
821,1.05e-08,RB,100.0,88831295000000.0
822,1.1e-08,FT5,85.0,158779392753623.2
823,1.1e-08,FT5,100.0,186585250000000.0
824,1.1e-08,PTP,85.0,92465540000000.0
825,1.1e-08,PTP,100.0,155383007600000.0
826,1.1e-08,RB,85.0,80566705000000.0
827,1.1e-08,RB,100.0,93511955000000.0
828,1.15e-08,FT5,85.0,170752040579710.16
829,1.15e-08,FT5,100.0,202351000000000.0
830,1.15e-08,PTP,85.0,100765860000000.0
831,1.15e-08,PTP,100.0,169182160000000.0
832,1.15e-08,RB,85.0,84151265000000.0
833,1.15e-08,RB,100.0,98213050000000.0
834,1.2e-08,FT5,85.0,184735487681159.4
835,1.2e-08,FT5,100.0,220841687500000.0
836,1.2e-08,PTP,85.0,110538120000000.0
837,1.2e-08,PTP,100.0,185412552000000.0
838,1.2e-08,RB,85.0,88223082500000.0
839,1.2e-08,RB,100.0,103531310000000.0
840,1.275e-08,FT5,85.0,202555075362318.84
841,1.275e-08,FT5,100.0,244465625000000.0
842,1.275e-08,PTP,85.0,123071520000000.0
843,1.275e-08,PTP,100.0,206207908000000.0
844,1.275e-08,RB,85.0,93295525000000.0
845,1.275e-08,RB,100.0,110075820000000.0
846,1.35e-08,FT5,85.0,222813484057971.0
847,1.35e-08,FT5,100.0,271459312500000.0
848,1.35e-08,PTP,85.0,137449400000000.0
849,1.35e-08,PTP,100.0,230039664000000.0
850,1.35e-08,RB,85.0,98866132500000.0
851,1.35e-08,RB,100.0,117260720000000.0
852,1.425e-08,FT5,85.0,243925144927536.22
853,1.425e-08,FT5,100.0,299773812500000.0
854,1.425e-08,PTP,85.0,152592160000000.0
855,1.425e-08,PTP,100.0,255112916000000.0
856,1.425e-08,RB,85.0,104429662500000.0
857,1.425e-08,RB,100.0,124487295000000.0
858,1.5e-08,FT5,85.0,267824695652173.9
859,1.5e-08,FT5,100.0,331986583333333.3
860,1.5e-08,PTP,85.0,169889700000000.0
861,1.5e-08,PTP,100.0,283722920000000.0
862,1.5e-08,RB,85.0,110497857500000.0
863,1.5e-08,RB,100.0,132365615000000.0
864,1.6e-08,FT5,85.0,296701463768115.94
865,1.6e-08,FT5,100.0,371061708333333.3
866,1.6e-08,PTP,85.0,190955400000000.0
867,1.6e-08,PTP,100.0,318527616000000.0
868,1.6e-08,RB,85.0,117585840000000.0
869,1.6e-08,RB,100.0,141519890000000.0
870,1.7e-08,FT5,85.0,327130855072463.75
871,1.7e-08,FT5,100.0,412253729166666.7
872,1.7e-08,PTP,85.0,213196900000000.0
873,1.7e-08,PTP,100.0,355214720000000.0
874,1.7e-08,RB,85.0,125049285000000.0
875,1.7e-08,RB,100.0,151180660000000.0
876,1.8e-08,FT5,85.0,351488630434782.6
877,1.8e-08,FT5,100.0,444821416666666.7
878,1.8e-08,PTP,85.0,230690500000000.0
879,1.8e-08,PTP,100.0,383947740000000.0
880,1.8e-08,RB,85.0,131800037500000.0
881,1.8e-08,RB,100.0,160021245000000.0
882,1.9e-08,FT5,85.0,367108891304347.8
883,1.9e-08,FT5,100.0,465022458333333.3
884,1.9e-08,PTP,85.0,241370000000000.0
885,1.9e-08,PTP,100.0,401312980000000.0
886,1.9e-08,RB,85.0,137499447500000.0
887,1.9e-08,RB,100.0,167614560000000.0
888,2e-08,FT5,85.0,378879065217391.3
889,2e-08,FT5,100.0,479822729166666.7
890,2e-08,PTP,85.0,249085400000000.0
891,2e-08,PTP,100.0,413738656000000.0
892,2e-08,RB,85.0,142675632500000.0
893,2e-08,RB,100.0,174605900000000.0
894,2.1e-08,FT5,85.0,390413601449275.4
895,2.1e-08,FT5,100.0,494326833333333.3
896,2.1e-08,PTP,85.0,256648600000000.0
897,2.1e-08,PTP,100.0,425910544000000.0
898,2.1e-08,RB,85.0,147758070000000.0
899,2.1e-08,RB,100.0,181525655000000.0
900,2.2e-08,FT5,85.0,401727456521739.1
901,2.2e-08,FT5,100.0,508552812500000.0
902,2.2e-08,PTP,85.0,264069000000000.0
903,2.2e-08,PTP,100.0,437844948000000.0
904,2.2e-08,RB,85.0,152750435000000.0
905,2.2e-08,RB,100.0,188377850000000.0
906,2.3e-08,FT5,85.0,412836384057971.0
907,2.3e-08,FT5,100.0,522516979166666.7
908,2.3e-08,PTP,85.0,271355400000000.0
909,2.3e-08,PTP,100.0,449556624000000.0
910,2.3e-08,RB,85.0,157659860000000.0
911,2.3e-08,RB,100.0,195166800000000.0
912,2.4e-08,FT5,85.0,425179876811594.2
913,2.4e-08,FT5,100.0,537967125000000.0
914,2.4e-08,PTP,85.0,279417300000000.0
915,2.4e-08,PTP,100.0,462507328000000.0
916,2.4e-08,RB,85.0,163180617500000.0
917,2.4e-08,RB,100.0,202742750000000.0
918,2.55e-08,FT5,85.0,440079376811594.2
919,2.55e-08,FT5,100.0,556501062500000.0
920,2.55e-08,PTP,85.0,289081600000000.0
921,2.55e-08,PTP,100.0,478012992000000.0
922,2.55e-08,RB,85.0,169975870000000.0
923,2.55e-08,RB,100.0,211918400000000.0
924,2.7e-08,FT5,85.0,455268702898550.75
925,2.7e-08,FT5,100.0,575475875000000.0
926,2.7e-08,PTP,85.0,298998300000000.0
927,2.7e-08,PTP,100.0,493948296000000.0
928,2.7e-08,RB,85.0,176802815000000.0
929,2.7e-08,RB,100.0,221127700000000.0
930,2.8e-08,FT5,85.0,474287630434782.6
931,2.8e-08,FT5,100.0,599824333333333.4
932,2.8e-08,PTP,85.0,311888700000000.0
933,2.8e-08,PTP,100.0,514966840000000.0
934,2.8e-08,RB,85.0,184585400000000.0
935,2.8e-08,RB,100.0,231468300000000.0
936,3e-08,FT5,85.0,503712775362318.8
937,3e-08,FT5,100.0,637947791666666.6
938,3e-08,PTP,85.0,332237700000000.0
939,3e-08,PTP,100.0,548445340000000.0
940,3e-08,RB,85.0,196068690000000.0
941,3e-08,RB,100.0,246315050000000.0
942,3.2e-08,FT5,85.0,538888876811594.2
943,3.2e-08,FT5,100.0,683552812500000.0
944,3.2e-08,PTP,85.0,356640400000000.0
945,3.2e-08,PTP,100.0,588645148000000.0
946,3.2e-08,RB,85.0,209793990000000.0
947,3.2e-08,RB,100.0,263832350000000.0
948,3.4e-08,FT5,85.0,571605797101449.2
949,3.4e-08,FT5,100.0,725919291666666.6
950,3.4e-08,PTP,85.0,379386400000000.0
951,3.4e-08,PTP,100.0,626030672000000.0
952,3.4e-08,RB,85.0,222626160000000.0
953,3.4e-08,RB,100.0,280074950000000.0
954,3.6e-08,FT5,85.0,596247137681159.4
955,3.6e-08,FT5,100.0,757780979166666.6
956,3.6e-08,PTP,85.0,396658300000000.0
957,3.6e-08,PTP,100.0,654161156000000.0
958,3.6e-08,RB,85.0,232309425000000.0
959,3.6e-08,RB,100.0,292181500000000.0
960,3.8e-08,FT5,85.0,612442057971014.5
961,3.8e-08,FT5,100.0,778616583333333.4
962,3.8e-08,PTP,85.0,408162100000000.0
963,3.8e-08,PTP,100.0,672550968000000.0
964,3.8e-08,RB,85.0,238720900000000.0
965,3.8e-08,RB,100.0,299954850000000.0
966,4e-08,FT5,85.0,626414123188405.8
967,4e-08,FT5,100.0,796416958333333.4
968,4e-08,PTP,85.0,418103300000000.0
969,4e-08,PTP,100.0,688249752000000.0
970,4e-08,RB,85.0,244399050000000.0
971,4e-08,RB,100.0,306524350000000.0
972,4.25e-08,FT5,85.0,641655391304347.9
973,4.25e-08,FT5,100.0,815684395833333.4
974,4.25e-08,PTP,85.0,428874600000000.0
975,4.25e-08,PTP,100.0,705238792000000.0
976,4.25e-08,RB,85.0,250762000000000.0
977,4.25e-08,RB,100.0,313638400000000.0
978,4.5e-08,FT5,85.0,653748731884058.0
979,4.5e-08,FT5,100.0,830805375000000.0
980,4.5e-08,PTP,85.0,437586500000000.0
981,4.5e-08,PTP,100.0,718759588000000.0
982,4.5e-08,RB,85.0,256030325000000.0
983,4.5e-08,RB,100.0,319027800000000.0
984,4.75e-08,FT5,85.0,658347811594202.9
985,4.75e-08,FT5,100.0,836274458333333.4
986,4.75e-08,PTP,85.0,441397700000000.0
987,4.75e-08,PTP,100.0,724143580000000.0
988,4.75e-08,RB,85.0,258428125000000.0
989,4.75e-08,RB,100.0,320467550000000.0
990,5e-08,FT5,85.0,659210050724637.6
991,5e-08,FT5,100.0,836868104166666.6
992,5e-08,PTP,85.0,442703600000000.0
993,5e-08,PTP,100.0,725391584000000.0
994,5e-08,RB,85.0,259456125000000.0
995,5e-08,RB,100.0,319939550000000.0
996,5.25e-08,FT5,85.0,660170891304347.9
997,5.25e-08,FT5,100.0,837457125000000.0
998,5.25e-08,PTP,85.0,443956800000000.0
999,5.25e-08,PTP,100.0,726590136000000.0
1000,5.25e-08,RB,85.0,260653175000000.0
1001,5.25e-08,RB,100.0,319458050000000.0
1002,5.5e-08,FT5,85.0,660056681159420.2
1003,5.5e-08,FT5,100.0,836616791666666.6
1004,5.5e-08,PTP,85.0,444273800000000.0
1005,5.5e-08,PTP,100.0,726505544000000.0
1006,5.5e-08,RB,85.0,261346750000000.0
1007,5.5e-08,RB,100.0,318332650000000.0
1008,5.75e-08,FT5,85.0,657692014492753.6
1009,5.75e-08,FT5,100.0,832924750000000.0
1010,5.75e-08,PTP,85.0,442769700000000.0
1011,5.75e-08,PTP,100.0,723903512000000.0
1012,5.75e-08,RB,85.0,260857425000000.0
1013,5.75e-08,RB,100.0,315878100000000.0
1014,6e-08,FT5,85.0,654170391304347.9
1015,6e-08,FT5,100.0,827786854166666.6
1016,6e-08,PTP,85.0,440348700000000.0
1017,6e-08,PTP,100.0,720034064000000.0
1018,6e-08,RB,85.0,259742975000000.0
1019,6e-08,RB,100.0,312732900000000.0
1020,6.3e-08,FT5,85.0,648614920289855.1
1021,6.3e-08,FT5,100.0,820196187500000.0
1022,6.3e-08,PTP,85.0,436759000000000.0
1023,6.3e-08,PTP,100.0,714177748000000.0
1024,6.3e-08,RB,85.0,257935150000000.0
1025,6.3e-08,RB,100.0,308748300000000.0
1026,6.6e-08,FT5,85.0,636452644927536.2
1027,6.6e-08,FT5,100.0,804144833333333.4
1028,6.6e-08,PTP,85.0,429000700000000.0
1029,6.6e-08,PTP,100.0,701199880000000.0
1030,6.6e-08,RB,85.0,254389575000000.0
1031,6.6e-08,RB,100.0,302664050000000.0
1032,6.9e-08,FT5,85.0,617255644927536.2
1033,6.9e-08,FT5,100.0,778700125000000.0
1034,6.9e-08,PTP,85.0,416492200000000.0
1035,6.9e-08,PTP,100.0,680099312000000.0
1036,6.9e-08,RB,85.0,249361300000000.0
1037,6.9e-08,RB,100.0,294825850000000.0
1038,7.2e-08,FT5,85.0,596157159420289.9
1039,7.2e-08,FT5,100.0,750516833333333.4
1040,7.2e-08,PTP,85.0,402539500000000.0
1041,7.2e-08,PTP,100.0,656578124000000.0
1042,7.2e-08,RB,85.0,243727900000000.0
1043,7.2e-08,RB,100.0,286359050000000.0
1044,7.6e-08,FT5,85.0,578607949275362.4
1045,7.6e-08,FT5,100.0,726837687500000.0
1046,7.6e-08,PTP,85.0,390936800000000.0
1047,7.6e-08,PTP,100.0,637242196000000.0
1048,7.6e-08,RB,85.0,237737225000000.0
1049,7.6e-08,RB,100.0,277595200000000.0
1050,8e-08,FT5,85.0,567575333333333.4
1051,8e-08,FT5,100.0,711637333333333.4
1052,8e-08,PTP,85.0,383798500000000.0
1053,8e-08,PTP,100.0,625713964000000.0
1054,8e-08,RB,85.0,231951925000000.0
1055,8e-08,RB,100.0,269194500000000.0
1056,8.4e-08,FT5,85.0,555452224637681.2
1057,8.4e-08,FT5,100.0,694486604166666.6
1058,8.4e-08,PTP,85.0,375457900000000.0
1059,8.4e-08,PTP,100.0,612103372000000.0
1060,8.4e-08,RB,85.0,226758250000000.0
1061,8.4e-08,RB,100.0,261599550000000.0
1062,8.8e-08,FT5,85.0,532533224637681.2
1063,8.8e-08,FT5,100.0,662347312500000.0
1064,8.8e-08,PTP,85.0,358944000000000.0
1065,8.8e-08,PTP,100.0,584361768000000.0
1066,8.8e-08,RB,85.0,221981900000000.0
1067,8.8e-08,RB,100.0,254593450000000.0
1068,9.2e-08,FT5,85.0,503386876811594.2
1069,9.2e-08,FT5,100.0,622240937500000.0
1070,9.2e-08,PTP,85.0,338150400000000.0
1071,9.2e-08,PTP,100.0,549259216000000.0
1072,9.2e-08,RB,85.0,217570920000000.0
1073,9.2e-08,RB,100.0,248109400000000.0
1074,9.6e-08,FT5,85.0,477338159420289.9
1075,9.6e-08,FT5,100.0,587679291666666.6
1076,9.6e-08,PTP,85.0,320318900000000.0
1077,9.6e-08,PTP,100.0,519368756000000.0
1078,9.6e-08,RB,85.0,211853517500000.0
1079,9.6e-08,RB,100.0,240213900000000.0
1080,1e-07,FT5,85.0,455639144927536.25
1081,1e-07,FT5,100.0,560673604166666.7
1082,1e-07,PTP,85.0,306512900000000.0
1083,1e-07,PTP,100.0,496584644000000.0
1084,1e-07,RB,85.0,202685890000000.0
1085,1e-07,RB,100.0,228464450000000.0
1086,1.05e-07,FT5,85.0,434846159420289.9
1087,1.05e-07,FT5,100.0,535787479166666.7
1088,1.05e-07,PTP,85.0,293841300000000.0
1089,1.05e-07,PTP,100.0,475869420000000.0
1090,1.05e-07,RB,85.0,191387282500000.0
1091,1.05e-07,RB,100.0,214434300000000.0
1092,1.1e-07,FT5,85.0,412676057971014.5
1093,1.1e-07,FT5,100.0,509039520833333.3
1094,1.1e-07,PTP,85.0,280153800000000.0
1095,1.1e-07,PTP,100.0,453494820000000.0
1096,1.1e-07,RB,85.0,180053330000000.0
1097,1.1e-07,RB,100.0,200562500000000.0
1098,1.15e-07,FT5,85.0,386650782608695.6
1099,1.15e-07,FT5,100.0,477040125000000.0
1100,1.15e-07,PTP,85.0,263668500000000.0
1101,1.15e-07,PTP,100.0,426536296000000.0
1102,1.15e-07,RB,85.0,168498462500000.0
1103,1.15e-07,RB,100.0,186660435000000.0
1104,1.2e-07,FT5,85.0,354575311594202.9
1105,1.2e-07,FT5,100.0,437182958333333.3
1106,1.2e-07,PTP,85.0,243000700000000.0
1107,1.2e-07,PTP,100.0,392743956000000.0
1108,1.2e-07,RB,85.0,155579582500000.0
1109,1.2e-07,RB,100.0,171453185000000.0
1110,1.275e-07,FT5,85.0,318277855072463.75
1111,1.275e-07,FT5,100.0,392083750000000.0
1112,1.275e-07,PTP,85.0,219467100000000.0
1113,1.275e-07,PTP,100.0,354300992000000.0
1114,1.275e-07,RB,85.0,141119147500000.0
1115,1.275e-07,RB,100.0,154733895000000.0
1116,1.35e-07,FT5,85.0,283892913043478.25
1117,1.35e-07,FT5,100.0,349558166666666.7
1118,1.35e-07,PTP,85.0,197138600000000.0
1119,1.35e-07,PTP,100.0,317872912000000.0
1120,1.35e-07,RB,85.0,127025070000000.0
1121,1.35e-07,RB,100.0,138591620000000.0
1122,1.425e-07,FT5,85.0,254669101449275.38
1123,1.425e-07,FT5,100.0,313727541666666.7
1124,1.425e-07,PTP,85.0,178213900000000.0
1125,1.425e-07,PTP,100.0,287044860000000.0
1126,1.425e-07,RB,85.0,114414932500000.0
1127,1.425e-07,RB,100.0,124227135000000.0
1128,1.5e-07,FT5,85.0,228145753623188.4
1129,1.5e-07,FT5,100.0,281458437500000.0
1130,1.5e-07,PTP,85.0,161061300000000.0
1131,1.5e-07,PTP,100.0,259145860000000.0
1132,1.5e-07,RB,85.0,102462352500000.0
1133,1.5e-07,RB,100.0,110719795000000.0
1134,1.6e-07,FT5,85.0,202560702898550.72
1135,1.6e-07,FT5,100.0,250417937500000.0
1136,1.6e-07,PTP,85.0,144510200000000.0
1137,1.6e-07,PTP,100.0,232229880000000.0
1138,1.6e-07,RB,85.0,90793677500000.0
1139,1.6e-07,RB,100.0,97681530000000.0
1140,1.7e-07,FT5,85.0,179922737681159.4
1141,1.7e-07,FT5,100.0,222997125000000.0
1142,1.7e-07,PTP,85.0,129937490000000.0
1143,1.7e-07,PTP,100.0,208491840000000.0
1144,1.7e-07,RB,85.0,80479060000000.0
1145,1.7e-07,RB,100.0,86280485000000.0
1146,1.8e-07,FT5,85.0,161425950724637.7
1147,1.8e-07,FT5,100.0,200513985416666.66
1148,1.8e-07,PTP,85.0,118051990000000.0
1149,1.8e-07,PTP,100.0,189092066800000.0
1150,1.8e-07,RB,85.0,72112092500000.0
1151,1.8e-07,RB,100.0,77101215000000.0
1152,1.9e-07,FT5,85.0,146125081884057.97
1153,1.9e-07,FT5,100.0,181491127083333.34
1154,1.9e-07,PTP,85.0,108163630000000.0
1155,1.9e-07,PTP,100.0,172889402000000.0
1156,1.9e-07,RB,85.0,65381967500000.0
1157,1.9e-07,RB,100.0,69736850000000.0
1158,2e-07,FT5,85.0,133445747101449.28
1159,2e-07,FT5,100.0,165167300000000.0
1160,2e-07,PTP,85.0,99921070000000.0
1161,2e-07,PTP,100.0,159296476000000.0
1162,2e-07,RB,85.0,60057057500000.0
1163,2e-07,RB,100.0,63911180000000.0
1164,2.1e-07,FT5,85.0,123139876086956.52
1165,2.1e-07,FT5,100.0,151873506250000.0
1166,2.1e-07,PTP,85.0,93093690000000.0
1167,2.1e-07,PTP,100.0,148068966000000.0
1168,2.1e-07,RB,85.0,55773270000000.0
1169,2.1e-07,RB,100.0,59209055000000.0
1170,2.2e-07,FT5,85.0,115289802898550.72
1171,2.2e-07,FT5,100.0,142214937500000.0
1172,2.2e-07,PTP,85.0,87655630000000.0
1173,2.2e-07,PTP,100.0,139278149200000.0
1174,2.2e-07,RB,85.0,52381340000000.0
1175,2.2e-07,RB,100.0,55442015000000.0
1176,2.3e-07,FT5,85.0,109258722463768.11
