Group,Flux,Uncert,Experiment,Sample,Loc,Power
thermal,1.4654E+15,2.19,JP10,A,FT-5,85.0
epithermal,1.0298E+15,2.14,JP10,A,FT-5,85.0
fast,9.0067E+14,2.13,JP10,A,FT-5,85.0
fast_2,4.5642E+14,2.14,JP10,A,FT-5,85.0
thermal,1.6673E+15,2.2,JP10,B,FT-5,85.0
epithermal,1.1715E+15,2.15,JP10,B,FT-5,85.0
fast,1.0246E+15,2.14,JP10,B,FT-5,85.0
fast_2,5.1922E+14,2.15,JP10,B,FT-5,85.0
thermal,1.6999E+15,2.21,JP10,C,FT-5,85.0
epithermal,1.1936E+15,2.15,JP10,C,FT-5,85.0
fast,1.0438E+15,2.14,JP10,C,FT-5,85.0
fast_2,5.2892E+14,2.15,JP10,C,FT-5,85.0
thermal,1.2877E+15,2.21,JP10,D,FT-5,85.0
epithermal,9.0381E+14,2.15,JP10,D,FT-5,85.0
fast,7.9039E+14,2.14,JP10,D,FT-5,85.0
fast_2,4.0051E+14,2.15,JP10,D,FT-5,85.0
thermal,1.03E+15,2.21,JP10,E,FT-5,85.0
epithermal,7.2278E+14,2.16,JP10,E,FT-5,85.0
fast,6.3206E+14,2.14,JP10,E,FT-5,85.0
fast_2,3.2027E+14,2.15,JP10,E,FT-5,85.0
thermal,1.5472E+15,2.24,JP11,A,FT-5,85.0
epithermal,1.0692E+15,2.16,JP11,A,FT-5,85.0
fast,9.3201E+14,2.16,JP11,A,FT-5,85.0
fast_2,4.7256E+14,2.17,JP11,A,FT-5,85.0
thermal,1.7289E+15,2.23,JP11,B,FT-5,85.0
epithermal,1.2084E+15,2.17,JP11,B,FT-5,85.0
fast,1.0522E+15,2.16,JP11,B,FT-5,85.0
fast_2,5.3381E+14,2.17,JP11,B,FT-5,85.0
thermal,1.7357E+15,2.22,JP11,C,FT-5,85.0
epithermal,1.2184E+15,2.16,JP11,C,FT-5,85.0
fast,1.0654E+15,2.15,JP11,C,FT-5,85.0
fast_2,5.3985E+14,2.15,JP11,C,FT-5,85.0
thermal,1.2625E+15,2.26,JP11,D,FT-5,85.0
epithermal,8.7357E+14,2.17,JP11,D,FT-5,85.0
fast,7.6222E+14,2.16,JP11,D,FT-5,85.0
fast_2,3.8648E+14,2.17,JP11,D,FT-5,85.0
thermal,1.064E+15,2.34,JP11,E,FT-5,85.0
epithermal,6.9382E+14,2.24,JP11,E,FT-5,85.0
fast,6.0688E+14,2.22,JP11,E,FT-5,85.0
fast_2,3.0922E+14,2.23,JP11,E,FT-5,85.0
thermal,1.3032E+15,6.34,JP12,A,FT-5,85.0
epithermal,9.1631E+14,7.71,JP12,A,FT-5,85.0
fast,8.1144E+14,12.45,JP12,A,FT-5,85.0
fast_2,4.3051E+14,15.11,JP12,A,FT-5,85.0
thermal,1.4366E+15,6.32,JP12,B,FT-5,85.0
epithermal,9.9926E+14,7.71,JP12,B,FT-5,85.0
fast,8.8157E+14,12.43,JP12,B,FT-5,85.0
fast_2,4.6824E+14,15.06,JP12,B,FT-5,85.0
thermal,8.3882E+14,2.29,JP13,A,FT-5,85.0
epithermal,5.585E+14,2.2,JP13,A,FT-5,85.0
fast,4.8922E+14,2.18,JP13,A,FT-5,85.0
fast_2,2.491E+14,2.19,JP13,A,FT-5,85.0
thermal,1.2475E+15,2.29,JP13,B,FT-5,85.0
epithermal,8.3139E+14,2.2,JP13,B,FT-5,85.0
fast,7.2834E+14,2.18,JP13,B,FT-5,85.0
fast_2,3.709E+14,2.2,JP13,B,FT-5,85.0
thermal,1.6967E+15,2.21,JP13,C,FT-5,85.0
epithermal,1.192E+15,2.15,JP13,C,FT-5,85.0
fast,1.0424E+15,2.14,JP13,C,FT-5,85.0
fast_2,5.2822E+14,2.15,JP13,C,FT-5,85.0
thermal,1.4633E+15,2.2,JP13,D,FT-5,85.0
epithermal,1.0208E+15,2.15,JP13,D,FT-5,85.0
fast,8.9001E+14,2.14,JP13,D,FT-5,85.0
fast_2,4.5125E+14,2.14,JP13,D,FT-5,85.0
thermal,1.2487E+15,2.27,JP13,E,FT-5,85.0
epithermal,8.1739E+14,2.19,JP13,E,FT-5,85.0
fast,7.1515E+14,2.17,JP13,E,FT-5,85.0
fast_2,3.6442E+14,2.18,JP13,E,FT-5,85.0
thermal,1.1828E+15,2.07,JP15,A,FT-5,85.0
epithermal,9.9249E+14,2.07,JP15,A,FT-5,85.0
fast,9.1891E+14,2.07,JP15,A,FT-5,85.0
fast_2,4.7085E+14,2.07,JP15,A,FT-5,85.0
thermal,7.2642E+14,2.22,JP15,B,FT-5,85.0
epithermal,6.0952E+14,2.22,JP15,B,FT-5,85.0
fast,5.6433E+14,2.21,JP15,B,FT-5,85.0
fast_2,2.8916E+14,2.22,JP15,B,FT-5,85.0
thermal,1.5121E+15,2.23,JP15,C,FT-5,85.0
epithermal,1.2688E+15,2.23,JP15,C,FT-5,85.0
fast,1.1747E+15,2.23,JP15,C,FT-5,85.0
fast_2,6.0193E+14,2.23,JP15,C,FT-5,85.0
thermal,8.2603E+14,2.32,JP16,A,FT-5,85.0
epithermal,5.4973E+14,2.24,JP16,A,FT-5,85.0
fast,4.8158E+14,2.22,JP16,A,FT-5,85.0
fast_2,2.4524E+14,2.23,JP16,A,FT-5,85.0
thermal,1.4779E+15,2.23,JP16,B,FT-5,85.0
epithermal,1.0217E+15,2.16,JP16,B,FT-5,85.0
fast,8.9084E+14,2.16,JP16,B,FT-5,85.0
fast_2,4.5175E+14,2.17,JP16,B,FT-5,85.0
thermal,1.5822E+15,2.2,JP16,C,FT-5,85.0
epithermal,1.1079E+15,2.15,JP16,C,FT-5,85.0
fast,9.6487E+14,2.14,JP16,C,FT-5,85.0
fast_2,4.8956E+14,2.14,JP16,C,FT-5,85.0
thermal,1.5994E+15,2.19,JP16,D,FT-5,85.0
epithermal,1.1159E+15,2.14,JP16,D,FT-5,85.0
fast,9.7309E+14,2.13,JP16,D,FT-5,85.0
fast_2,4.934E+14,2.14,JP16,D,FT-5,85.0
thermal,1.4629E+15,2.22,JP16,E,FT-5,85.0
epithermal,1.0155E+15,2.14,JP16,E,FT-5,85.0
fast,8.8663E+14,2.14,JP16,E,FT-5,85.0
fast_2,4.4976E+14,2.15,JP16,E,FT-5,85.0
thermal,1.029E+15,2.26,JP16,F,FT-5,85.0
epithermal,6.7393E+14,2.18,JP16,F,FT-5,85.0
fast,5.8969E+14,2.16,JP16,F,FT-5,85.0
fast_2,3.005E+14,2.17,JP16,F,FT-5,85.0
thermal,6.7508E+14,2.3,JP17,A,PTP,85.0
epithermal,5.6639E+14,2.2,JP17,A,PTP,85.0
fast,5.2447E+14,2.2,JP17,A,PTP,85.0
fast_2,2.6833E+14,2.2,JP17,A,PTP,85.0
thermal,1.3986E+15,2.63,JP17,B,PTP,85.0
epithermal,1.1763E+15,2.55,JP17,B,PTP,85.0
fast,1.0893E+15,2.55,JP17,B,PTP,85.0
fast_2,5.5732E+14,2.56,JP17,B,PTP,85.0
thermal,1.217E+15,2.27,JP17,C,PTP,85.0
epithermal,1.0234E+15,2.18,JP17,C,PTP,85.0
fast,9.4795E+14,2.17,JP17,C,PTP,85.0
fast_2,4.851E+14,2.18,JP17,C,PTP,85.0
thermal,8.6674E+14,2.24,JP17,D,PTP,85.0
epithermal,7.3031E+14,2.16,JP17,D,PTP,85.0
fast,6.7662E+14,2.16,JP17,D,PTP,85.0
fast_2,3.463E+14,2.16,JP17,D,PTP,85.0
thermal,6.3432E+14,2.52,JP17,E,PTP,85.0
epithermal,5.3219E+14,2.42,JP17,E,PTP,85.0
fast,4.9275E+14,2.41,JP17,E,PTP,85.0
fast_2,2.5209E+14,2.41,JP17,E,PTP,85.0
thermal,7.8824E+14,2.4,JP18,A,FT-5,85.0
epithermal,6.2987E+14,2.26,JP18,A,FT-5,85.0
fast,5.826E+14,2.25,JP18,A,FT-5,85.0
fast_2,2.9921E+14,2.26,JP18,A,FT-5,85.0
thermal,1.4752E+15,2.35,JP18,B,FT-5,85.0
epithermal,1.2348E+15,2.25,JP18,B,FT-5,85.0
fast,1.143E+15,2.24,JP18,B,FT-5,85.0
fast_2,5.8468E+14,2.24,JP18,B,FT-5,85.0
thermal,1.1014E+15,2.4,JP18,C,FT-5,85.0
epithermal,8.9273E+14,2.26,JP18,C,FT-5,85.0
fast,8.2608E+14,2.25,JP18,C,FT-5,85.0
fast_2,4.2341E+14,2.26,JP18,C,FT-5,85.0
thermal,1.5519E+15,2.34,JP19,A,FT-5,85.0
epithermal,1.3079E+15,2.24,JP19,A,FT-5,85.0
fast,1.2088E+15,2.23,JP19,A,FT-5,85.0
fast_2,6.1969E+14,2.23,JP19,A,FT-5,85.0
thermal,1.5118E+15,2.37,JP19,B,FT-5,85.0
epithermal,1.2642E+15,2.26,JP19,B,FT-5,85.0
fast,1.17E+15,2.25,JP19,B,FT-5,85.0
fast_2,5.9843E+14,2.26,JP19,B,FT-5,85.0
thermal,1.0616E+15,1.84,JP2,A,FT-5,100.0
epithermal,6.4085E+14,1.84,JP2,A,FT-5,100.0
fast,5.3745E+14,1.84,JP2,A,FT-5,100.0
fast_2,2.7065E+14,1.84,JP2,A,FT-5,100.0
thermal,1.5028E+15,1.86,JP2,B,FT-5,100.0
epithermal,1.1843E+15,1.85,JP2,B,FT-5,100.0
fast,1.0934E+15,1.85,JP2,B,FT-5,100.0
fast_2,5.6062E+14,1.85,JP2,B,FT-5,100.0
thermal,1.7995E+15,1.84,JP2,C,FT-5,100.0
epithermal,1.5193E+15,1.84,JP2,C,FT-5,100.0
fast,1.4065E+15,1.84,JP2,C,FT-5,100.0
fast_2,7.2071E+14,1.84,JP2,C,FT-5,100.0
thermal,1.8674E+15,1.82,JP2,D,FT-5,100.0
epithermal,1.5669E+15,1.82,JP2,D,FT-5,100.0
fast,1.4508E+15,1.82,JP2,D,FT-5,100.0
fast_2,7.4337E+14,1.82,JP2,D,FT-5,100.0
thermal,1.6115E+15,1.83,JP2,E,FT-5,100.0
epithermal,1.3109E+15,1.83,JP2,E,FT-5,100.0
fast,1.2125E+15,1.83,JP2,E,FT-5,100.0
fast_2,6.2245E+14,1.83,JP2,E,FT-5,100.0
thermal,1.2385E+15,1.86,JP2,F,FT-5,100.0
epithermal,8.5135E+14,1.86,JP2,F,FT-5,100.0
fast,7.894E+14,1.85,JP2,F,FT-5,100.0
fast_2,4.07E+14,1.85,JP2,F,FT-5,100.0
thermal,1.3482E+15,2.12,JP20,A,FT-5,100.0
epithermal,9.4519E+14,2.05,JP20,A,FT-5,85.0
fast,8.2641E+14,2.03,JP20,A,FT-5,85.0
fast_2,4.1869E+14,2.04,JP20,A,FT-5,85.0
thermal,1.9246E+15,2.14,JP20,B,FT-5,85.0
epithermal,1.3476E+15,2.06,JP20,B,FT-5,85.0
fast,1.1781E+15,2.05,JP20,B,FT-5,85.0
fast_2,5.9681E+14,2.05,JP20,B,FT-5,85.0
thermal,1.6127E+15,6.43,JP23,A,FT-5,85.0
epithermal,1.0081E+15,7.75,JP23,A,FT-5,85.0
fast,8.9098E+14,12.5,JP23,A,FT-5,85.0
fast_2,4.6788E+14,15.16,JP23,A,FT-5,85.0
thermal,1.9631E+15,6.41,JP23,B,FT-5,85.0
epithermal,1.2123E+15,7.75,JP23,B,FT-5,85.0
fast,1.0609E+15,12.5,JP23,B,FT-5,85.0
fast_2,5.5431E+14,15.16,JP23,B,FT-5,85.0
thermal,1.8961E+15,6.39,JP23,C,FT-5,85.0
epithermal,1.1825E+15,7.74,JP23,C,FT-5,85.0
fast,1.0704E+15,12.43,JP23,C,FT-5,85.0
fast_2,5.7483E+14,15.11,JP23,C,FT-5,85.0
thermal,1.7801E+15,6.38,JP23,D,FT-5,85.0
epithermal,1.12E+15,7.75,JP23,D,FT-5,85.0
fast,1.0038E+15,12.45,JP23,D,FT-5,85.0
fast_2,5.3728E+14,15.13,JP23,D,FT-5,85.0
thermal,1.3599E+15,8.35,JP23,E,FT-5,85.0
epithermal,8.7121E+14,7.93,JP23,E,FT-5,85.0
fast,7.6353E+14,12.57,JP23,E,FT-5,85.0
fast_2,3.9604E+14,15.27,JP23,E,FT-5,85.0
thermal,1.6284E+15,1.94,JP3,A,FT-5,100.0
epithermal,1.1368E+15,1.92,JP3,A,FT-5,100.0
fast,9.8978E+14,1.9,JP3,A,FT-5,100.0
fast_2,5.0212E+14,1.9,JP3,A,FT-5,100.0
thermal,2.0691E+15,1.93,JP3,B,FT-5,100.0
epithermal,1.4463E+15,1.91,JP3,B,FT-5,100.0
fast,1.2595E+15,1.89,JP3,B,FT-5,100.0
fast_2,6.3906E+14,1.9,JP3,B,FT-5,100.0
thermal,2.1652E+15,1.93,JP3,C,FT-5,100.0
epithermal,1.5129E+15,1.91,JP3,C,FT-5,100.0
fast,1.3175E+15,1.89,JP3,C,FT-5,100.0
fast_2,6.6845E+14,1.9,JP3,C,FT-5,100.0
thermal,1.8441E+15,1.94,JP3,D,FT-5,100.0
epithermal,1.287E+15,1.92,JP3,D,FT-5,100.0
fast,1.1206E+15,1.9,JP3,D,FT-5,100.0
fast_2,5.6846E+14,1.91,JP3,D,FT-5,100.0
thermal,1.2876E+15,1.97,JP3,E,FT-5,100.0
epithermal,8.9653E+14,1.94,JP3,E,FT-5,100.0
fast,7.8031E+14,1.92,JP3,E,FT-5,100.0
fast_2,3.9574E+14,1.92,JP3,E,FT-5,100.0
thermal,1.4235E+15,1.9,JP4,A,FT-5,100.0
epithermal,1.1871E+15,1.81,JP4,A,FT-5,100.0
fast,1.0983E+15,1.8,JP4,A,FT-5,100.0
fast_2,5.6161E+14,1.8,JP4,A,FT-5,100.0
thermal,1.835E+15,1.86,JP4,B,FT-5,100.0
epithermal,1.5367E+15,1.78,JP4,B,FT-5,100.0
fast,1.4226E+15,1.77,JP4,B,FT-5,100.0
fast_2,7.2769E+14,1.77,JP4,B,FT-5,100.0
thermal,1.2553E+15,1.9,JP4,C,FT-5,100.0
epithermal,1.0459E+15,1.81,JP4,C,FT-5,100.0
fast,9.6767E+14,1.79,JP4,C,FT-5,100.0
fast_2,4.948E+14,1.8,JP4,C,FT-5,100.0
thermal,9.6563E+14,2.17,JP5,A,FT-5,100.0
epithermal,6.5271E+14,2.05,JP5,A,FT-5,100.0
fast,6.0495E+14,2.02,JP5,A,FT-5,100.0
fast_2,3.114E+14,2.03,JP5,A,FT-5,100.0
thermal,1.476E+15,1.98,JP5,B,FT-5,100.0
epithermal,1.234E+15,1.93,JP5,B,FT-5,100.0
fast,1.1419E+15,1.92,JP5,B,FT-5,100.0
fast_2,5.8395E+14,1.92,JP5,B,FT-5,100.0
thermal,1.7877E+15,2.24,JP5,C,FT-5,100.0
epithermal,1.5004E+15,2.21,JP5,C,FT-5,100.0
fast,1.3893E+15,2.21,JP5,C,FT-5,100.0
fast_2,7.1082E+14,2.22,JP5,C,FT-5,100.0
thermal,1.8944E+15,1.94,JP5,D,FT-5,100.0
epithermal,1.5907E+15,1.9,JP5,D,FT-5,100.0
fast,1.473E+15,1.89,JP5,D,FT-5,100.0
fast_2,7.5362E+14,1.89,JP5,D,FT-5,100.0
thermal,1.6077E+15,1.95,JP5,E,FT-5,100.0
epithermal,1.347E+15,1.9,JP5,E,FT-5,100.0
fast,1.2468E+15,1.89,JP5,E,FT-5,100.0
fast_2,6.3771E+14,1.9,JP5,E,FT-5,100.0
thermal,1.052E+15,2.28,JP6,A,FT-5,100.0
epithermal,5.4927E+14,2.19,JP6,A,FT-5,100.0
fast,4.7528E+14,2.13,JP6,A,FT-5,100.0
fast_2,2.4344E+14,2.15,JP6,A,FT-5,100.0
thermal,1.6525E+15,1.95,JP6,B,FT-5,100.0
epithermal,1.1494E+15,1.93,JP6,B,FT-5,100.0
fast,1.0021E+15,1.91,JP6,B,FT-5,100.0
fast_2,5.0806E+14,1.92,JP6,B,FT-5,100.0
thermal,2.0647E+15,1.94,JP6,C,FT-5,100.0
epithermal,1.3586E+15,1.93,JP6,C,FT-5,100.0
fast,1.1896E+15,1.9,JP6,C,FT-5,100.0
fast_2,6.0658E+14,1.92,JP6,C,FT-5,100.0
thermal,2.0459E+15,1.86,JP6,D,FT-5,100.0
epithermal,1.4426E+15,1.86,JP6,D,FT-5,100.0
fast,1.2623E+15,1.84,JP6,D,FT-5,100.0
fast_2,6.3997E+14,1.85,JP6,D,FT-5,100.0
thermal,1.7863E+15,1.88,JP6,E,FT-5,100.0
epithermal,1.2574E+15,1.87,JP6,E,FT-5,100.0
fast,1.1E+15,1.85,JP6,E,FT-5,100.0
fast_2,5.5756E+14,1.86,JP6,E,FT-5,100.0
thermal,1.2898E+15,1.93,JP6,F,FT-5,100.0
epithermal,9.0382E+14,1.91,JP6,F,FT-5,100.0
fast,7.9021E+14,1.89,JP6,F,FT-5,100.0
fast_2,4.0036E+14,1.9,JP6,F,FT-5,100.0
thermal,1.7208E+15,1.91,JP7,A,FT-5,100.0
epithermal,1.2079E+15,1.9,JP7,A,FT-5,100.0
fast,1.0563E+15,1.88,JP7,A,FT-5,100.0
fast_2,5.3529E+14,1.88,JP7,A,FT-5,100.0
thermal,2.0562E+15,1.86,JP7,B,FT-5,100.0
epithermal,1.443E+15,1.86,JP7,B,FT-5,100.0
fast,1.2572E+15,1.84,JP7,B,FT-5,100.0
fast_2,6.3808E+14,1.85,JP7,B,FT-5,100.0
thermal,1.5386E+15,2,JP8,A,FT-5,100.0
epithermal,1.2853E+15,1.94,JP8,A,FT-5,100.0
fast,1.1894E+15,1.93,JP8,A,FT-5,100.0
fast_2,6.0829E+14,1.94,JP8,A,FT-5,100.0
thermal,1.8342E+15,1.96,JP8,B,FT-5,100.0
epithermal,1.5354E+15,1.91,JP8,B,FT-5,100.0
fast,1.4212E+15,1.9,JP8,B,FT-5,100.0
fast_2,7.2696E+14,1.91,JP8,B,FT-5,100.0
thermal,1.14E+15,2.05,JP8,C,FT-5,100.0
epithermal,9.4886E+14,1.98,JP8,C,FT-5,100.0
fast,8.7776E+14,1.97,JP8,C,FT-5,100.0
fast_2,4.4878E+14,1.97,JP8,C,FT-5,100.0
thermal,1.2737E+15,2.06,JP9,A,FT-5,85.0
epithermal,1.0687E+15,2.05,JP9,A,FT-5,85.0
fast,9.895E+14,2.05,JP9,A,FT-5,85.0
fast_2,5.0702E+14,2.05,JP9,A,FT-5,85.0
thermal,8.6445E+14,2.04,JP9,B,FT-5,85.0
epithermal,5.1907E+14,2.03,JP9,B,FT-5,85.0
fast,4.3468E+14,2.03,JP9,B,FT-5,85.0
fast_2,2.1896E+14,2.03,JP9,B,FT-5,85.0
thermal,3.5611E+14,7.28,RB1,A,RB,100.0
epithermal,2.56E+14,8.38,RB1,A,RB,100.0
fast,1.5161E+14,14.17,RB1,A,RB,100.0
fast_2,6.1202E+13,19.97,RB1,A,RB,100.0
thermal,3.6963E+14,6.92,RB1,A,RB,100.0
epithermal,1.7514E+14,8.29,RB1,A,RB,100.0
fast,9.9116E+13,14.18,RB1,A,RB,100.0
fast_2,3.9722E+13,19.95,RB1,A,RB,100.0
thermal,9.8948E+14,7.6,RB1,B,RB,100.0
epithermal,9.2396E+14,8.34,RB1,B,RB,100.0
fast,5.4337E+14,14.22,RB1,B,RB,100.0
fast_2,2.124E+14,20.08,RB1,B,RB,100.0
thermal,1.01E+15,7.2,RB1,B,RB,100.0
epithermal,6.8829E+14,8.3,RB1,B,RB,100.0
fast,3.8754E+14,14.21,RB1,B,RB,100.0
fast_2,1.5216E+14,20.06,RB1,B,RB,100.0
thermal,9.4749E+14,6.76,RB1,C,RB,100.0
epithermal,8.4751E+14,8.3,RB1,C,RB,100.0
fast,4.7682E+14,13.76,RB1,C,RB,100.0
fast_2,1.7737E+14,17.71,RB1,C,RB,100.0
thermal,9.7781E+14,6.3,RB1,C,RB,100.0
epithermal,7.2129E+14,8.27,RB1,C,RB,100.0
fast,4.0274E+14,13.49,RB1,C,RB,100.0
fast_2,1.5814E+14,17.05,RB1,C,RB,100.0
thermal,7.098E+14,6.91,RB1,D,RB,100.0
epithermal,7.2485E+14,8.35,RB1,D,RB,100.0
fast,4.2021E+14,13.76,RB1,D,RB,100.0
fast_2,1.564E+14,17.73,RB1,D,RB,100.0
thermal,7.4543E+14,6.26,RB1,D,RB,100.0
epithermal,5.6451E+14,8.27,RB1,D,RB,100.0
fast,3.2476E+14,13.34,RB1,D,RB,100.0
fast_2,1.3191E+14,16.76,RB1,D,RB,100.0
thermal,4.1986E+14,7.03,RB1,E,RB,100.0
epithermal,4.6426E+14,8.43,RB1,E,RB,100.0
fast,2.7884E+14,13.71,RB1,E,RB,100.0
fast_2,1.055E+14,17.7,RB1,E,RB,100.0
thermal,4.5298E+14,6.21,RB1,E,RB,100.0
epithermal,3.3679E+14,8.28,RB1,E,RB,100.0
fast,2.0007E+14,13.2,RB1,E,RB,100.0
fast_2,8.4156E+13,16.56,RB1,E,RB,100.0
thermal,3.0363E+14,2.18,RB2,A,RB,100.0
epithermal,3.733E+14,1.97,RB2,A,RB,100.0
fast,2.3319E+14,1.98,RB2,A,RB,100.0
fast_2,9.0795E+13,1.96,RB2,A,RB,100.0
thermal,5.1979E+14,1.97,RB2,A,RB,100.0
epithermal,3.5191E+14,1.88,RB2,A,RB,100.0
fast,2.0102E+14,1.88,RB2,A,RB,100.0
fast_2,7.8994E+13,1.87,RB2,A,RB,100.0
thermal,8.0232E+14,1.96,RB2,C,RB,100.0
epithermal,7.8921E+14,1.89,RB2,C,RB,100.0
fast,4.6569E+14,1.89,RB2,C,RB,100.0
fast_2,1.8171E+14,1.88,RB2,C,RB,100.0
thermal,1.0331E+15,1.93,RB2,C,RB,100.0
epithermal,7.3763E+14,1.86,RB2,C,RB,100.0
fast,4.1655E+14,1.86,RB2,C,RB,100.0
fast_2,1.6346E+14,1.86,RB2,C,RB,100.0
thermal,7.8661E+14,1.95,RB2,D,RB,100.0
epithermal,7.7318E+14,1.87,RB2,D,RB,100.0
fast,4.5606E+14,1.87,RB2,D,RB,100.0
fast_2,1.7786E+14,1.86,RB2,D,RB,100.0
thermal,7.7062E+14,1.89,RB2,D,RB,100.0
epithermal,5.5028E+14,1.82,RB2,D,RB,100.0
fast,3.1056E+14,1.82,RB2,D,RB,100.0
fast_2,1.2175E+14,1.82,RB2,D,RB,100.0
thermal,8.9489E+14,2.1,RB3,A,RB,100.0
epithermal,8.8171E+14,2.03,RB3,A,RB,100.0
fast,5.2045E+14,2.04,RB3,A,RB,100.0
fast_2,2.0317E+14,2.05,RB3,A,RB,100.0
thermal,1.1073E+15,2.07,RB3,A,RB,100.0
epithermal,7.9124E+14,2.02,RB3,A,RB,100.0
fast,4.4676E+14,2.03,RB3,A,RB,100.0
fast_2,1.7527E+14,2.04,RB3,A,RB,100.0
thermal,1.9024E+15,2.63,T1,A,FT-5,100.0
epithermal,1.3256E+15,2.53,T1,A,FT-5,100.0
fast,1.1539E+15,2.51,T1,A,FT-5,100.0
fast_2,5.8527E+14,2.51,T1,A,FT-5,100.0
thermal,1.5988E+15,2.24,T1,B,FT-5,100.0
epithermal,1.058E+15,2.1,T1,B,FT-5,100.0
fast,9.2606E+14,2.06,T1,B,FT-5,100.0
fast_2,4.7128E+14,2.07,T1,B,FT-5,100.0
thermal,2.0888E+15,2.46,T2,A,FT-5,100.0
epithermal,1.4563E+15,2.31,T2,A,FT-5,100.0
fast,1.2676E+15,2.29,T2,A,FT-5,100.0
fast_2,6.4287E+14,2.29,T2,A,FT-5,100.0
thermal,2.5498E+15,15.12,T2,A,FT-5,100.0
epithermal,1.4411E+15,8.25,T2,A,FT-5,100.0
fast,1.2025E+15,12.91,T2,A,FT-5,100.0
fast_2,6.0299E+14,15.99,T2,A,FT-5,100.0
thermal,1.6663E+15,2.24,T2,B,FT-5,100.0
epithermal,1.1005E+15,2.1,T2,B,FT-5,100.0
fast,9.6297E+14,2.06,T2,B,FT-5,100.0
fast_2,4.8998E+14,2.06,T2,B,FT-5,100.0
thermal,1.8048E+15,6.23,T2,B,FT-5,100.0
epithermal,1.0493E+15,8.2,T2,B,FT-5,100.0
fast,8.9817E+14,12.75,T2,B,FT-5,100.0
fast_2,4.5852E+14,15.67,T2,B,FT-5,100.0
thermal,2.9504E+14,8.18,TRIST-ER-1-2,A,RB,85.0
epithermal,3.0962E+14,7.45,TRIST-ER-1-2,A,RB,85.0
fast,2.0291E+14,13.46,TRIST-ER-1-2,A,RB,85.0
fast_2,8.1287E+13,17.29,TRIST-ER-1-2,A,RB,85.0
thermal,3.2708E+14,6.48,TRIST-ER-1-2,A,RB,85.0
epithermal,2.6838E+14,7.63,TRIST-ER-1-2,A,RB,85.0
fast,1.6627E+14,13.21,TRIST-ER-1-2,A,RB,85.0
fast_2,7.0907E+13,16.79,TRIST-ER-1-2,A,RB,85.0
thermal,6.6956E+14,7.65,TRIST-ER-1-2,B,RB,85.0
epithermal,6.1261E+14,7.51,TRIST-ER-1-2,B,RB,85.0
fast,3.8735E+14,13.5,TRIST-ER-1-2,B,RB,85.0
fast_2,1.5309E+14,17.31,TRIST-ER-1-2,B,RB,85.0
thermal,7.0119E+14,6.55,TRIST-ER-1-2,B,RB,85.0
epithermal,5.5727E+14,7.63,TRIST-ER-1-2,B,RB,85.0
fast,3.3853E+14,13.33,TRIST-ER-1-2,B,RB,85.0
fast_2,1.4007E+14,16.99,TRIST-ER-1-2,B,RB,85.0
thermal,7.5333E+14,7.29,TRIST-ER-1-2,C,RB,85.0
epithermal,7.3137E+14,7.5,TRIST-ER-1-2,C,RB,85.0
fast,4.4224E+14,13.46,TRIST-ER-1-2,C,RB,85.0
fast_2,1.7749E+14,17.25,TRIST-ER-1-2,C,RB,85.0
thermal,7.8124E+14,6.52,TRIST-ER-1-2,C,RB,85.0
epithermal,6.7038E+14,7.61,TRIST-ER-1-2,C,RB,85.0
fast,3.9519E+14,13.31,TRIST-ER-1-2,C,RB,85.0
fast_2,1.6445E+14,16.97,TRIST-ER-1-2,C,RB,85.0
thermal,6.7587E+14,7.46,TRIST-ER-1-2,D,RB,85.0
epithermal,5.9086E+14,7.54,TRIST-ER-1-2,D,RB,85.0
fast,3.7321E+14,13.47,TRIST-ER-1-2,D,RB,85.0
fast_2,1.4957E+14,17.28,TRIST-ER-1-2,D,RB,85.0
thermal,7.0902E+14,6.57,TRIST-ER-1-2,D,RB,85.0
epithermal,5.3419E+14,7.65,TRIST-ER-1-2,D,RB,85.0
fast,3.2743E+14,13.29,TRIST-ER-1-2,D,RB,85.0
fast_2,1.3709E+14,16.93,TRIST-ER-1-2,D,RB,85.0
thermal,4.4406E+14,7.58,TRIST-ER-1-2,E,RB,85.0
epithermal,3.7893E+14,7.56,TRIST-ER-1-2,E,RB,85.0
fast,2.3733E+14,13.51,TRIST-ER-1-2,E,RB,85.0
fast_2,9.4174E+13,17.37,TRIST-ER-1-2,E,RB,85.0
thermal,4.7508E+14,6.47,TRIST-ER-1-2,E,RB,85.0
epithermal,3.4117E+14,7.69,TRIST-ER-1-2,E,RB,85.0
fast,2.0834E+14,13.35,TRIST-ER-1-2,E,RB,85.0
fast_2,8.6231E+13,17.01,TRIST-ER-1-2,E,RB,85.0
thermal,2.7751E+14,7.78,TRIST-ER-7-8,A,RB,85.0
epithermal,3.2557E+14,7.4,TRIST-ER-7-8,A,RB,85.0
fast,2.2264E+14,13.36,TRIST-ER-7-8,A,RB,85.0
fast_2,9.1045E+13,17.05,TRIST-ER-7-8,A,RB,85.0
thermal,3.0462E+14,6.53,TRIST-ER-7-8,A,RB,85.0
epithermal,2.6872E+14,7.6,TRIST-ER-7-8,A,RB,85.0
fast,1.714E+14,13.05,TRIST-ER-7-8,A,RB,85.0
fast_2,7.5814E+13,16.48,TRIST-ER-7-8,A,RB,85.0
thermal,6.792E+14,7.43,TRIST-ER-7-8,B,RB,85.0
